ColxCvi_2cell	CvixCol_2cell	unwashed_ColxCvi_8cell	unwashed_CvixCol_8cell	ColxCvi_8cell	CvixCol_8cell	ColxCvi_eg	CvixCol_eg
AT1G01800	13.89	11.92	13.68	15.18	8.75	15.02	20.09	23.28
AT1G01810	15.58	16.5	11.43	7.24	11.37	13.97	3.01	4.22
AT1G01820	13.56	16.85	13.66	19.04	13.48	15.19	16.99	23.86
AT1G01830	5.26	17.41	3.96	9.5	7.38	9.06	2.03	5.69
AT1G01840	26.29	22.04	10.46	12.92	9.62	22.19	15.67	17.33
AT1G01860	0.24	1.05	0.96	1.02	1.67	1.86	0.92	1.85
AT1G01870	1.15	2.9	0	0.56	0	0	0.64	0
AT1G01880	5.05	7.03	3.87	6.02	2.46	6.17	2.34	5
AT1G01890	0.77	0	0	0.52	1.09	0.8	0.89	0
AT1G01900	0.68	0.54	0.69	2.13	2.09	0.88	0.33	0.47
AT1G01910	32.71	43.03	20.4	35.26	33.1	40.99	30.03	34.36
AT1G01920	20.54	33.69	9.69	14.55	13.85	25.87	15.95	21.87
AT1G01930	10.28	9.87	4.01	6.7	6.2	13.2	3.36	5.05
AT1G01940	282.28	221.97	61.64	101.92	193.46	438.57	149.8	220.27
AT1G01950	9.71	9.48	7.22	8.87	8.03	13.49	4.84	9.24
AT1G01960	9.26	13.66	9.05	9.8	8.71	11.17	5.45	8.83
AT1G01970	6.53	6.75	5.48	9.29	7.77	4.75	4.96	3.95
AT1G01980	3.69	0	2.79	2.89	0.11	1.2	0.18	0
AT1G01990	21.31	33.89	18.64	25.59	17.84	20.56	18.73	22.71
AT1G02000	24.52	9.67	7.91	12.5	11.68	17.93	3.88	6.35
AT1G02010	2.27	0.86	0.82	0.75	1.07	1.77	0.35	0.94
AT1G02020	6.89	4.78	3.62	7.27	2.08	6.09	4.33	4.14
AT1G02030	1.67	0.92	1.18	0.82	0.98	2.06	0.08	1.05
AT1G02040	0	0	0	0	0.36	0.4	0	0
AT1G02050	3.78	2.56	1.88	1.63	1.37	2.57	2.14	3.6
AT1G02060	0.4	0	0.32	0.53	0.09	0.1	1.01	0
AT1G02065	0	3.15	3.47	10.2	0.1	0	0	0
AT1G02067	0	0	0	0	0	0	0	0
AT1G02070	0	0	3.04	0.57	0	0	0	0
AT1G02080	13.97	15.62	5.62	8.2	8.39	10.76	4.86	9.68
AT1G02090	197.32	232.1	73.03	84.1	137.09	302.74	76.57	160.34
AT1G02100	17.25	22.09	10.07	13.93	12.66	19.21	12.1	12.48
AT1G02110	13.25	9.54	13.08	22.2	11.88	21.34	10.41	14.16
AT1G02120	6.85	6.01	5.77	6.49	4.51	7	3.13	7.59
AT1G02130	60.67	81.68	100.31	99.79	99.61	82.65	86.89	97.74
AT1G02136	0	0	0	0	0	0	0	0
AT1G02140	271.93	230.7	292.38	250.51	237.23	236.99	178.82	232.49
AT1G02145	12.05	21	4.92	9.92	5.92	10.8	10.61	13.65
AT1G02150	22.52	18.86	10.53	26.1	8.4	13.56	17.09	17.84
AT1G02160	134.97	117.95	206.49	113.63	196.38	128.76	151.73	119.13
AT1G02170	9.43	20.25	12.34	14.15	10.66	17.97	10.54	15.01
AT1G02180	19	16.16	36.62	40	30.06	36.89	48.36	33.68
AT1G02190	0.31	0	4.25	0.95	0	0	0.88	0.19
AT1G02205	0.47	0.22	25.43	61.86	1.04	1.11	0.12	0.87
AT1G02210	0	0	0	0	0	0	0	0
AT1G02220	0.28	0.18	0.23	0.49	0	0.36	0.76	0.26
AT1G02228	0	0	0	0	0	1.51	0	0
AT1G02230	0	0	0	0	0	0.16	0	0
AT1G02250	0	0	0	0.6	0.9	1.9	0	0.88
AT1G02260	1.2	8	4.04	4.36	1.35	4.27	1.04	4.26
AT1G02270	4.89	4.43	2.07	5.76	1.46	13	2.99	4.71
AT1G02280	64.53	77.9	39.31	64.2	40.35	71.14	46.01	70.51
AT1G02290	20.72	20.21	8.66	14.73	10.38	16.53	4.7	14.12
AT1G02300	0.47	0.45	1.12	0.71	0	0	0.48	0
AT1G02305	16.58	19.02	22.63	28.99	11.45	11.76	26.06	25.43
AT1G02310	0	0	0.26	0	0	0.34	0	0
AT1G02320	0	0	0	1.3	0	2.03	0	0
AT1G02330	66.15	50.23	28.19	47.56	55.7	75.16	45.53	54.2
AT1G02335	0	0	0.18	0	0	0	0	0
AT1G02340	0	0	0.86	0.1	0	0	0	0
AT1G02350	5.08	1.42	0.91	1.49	0	0.59	1.31	2.58
AT1G02360	0	0	0	0	0	0	0.61	1.08
AT1G02370	7.74	13.99	11.3	10.86	13.03	10.02	11.3	11.3
AT1G02380	10.07	4.52	3.44	6.41	1.45	8.86	1.98	5.94
AT1G02390	22.22	17.71	4.33	5.37	4.97	8.69	5.99	7.97
AT1G02400	0	0	0.13	0	0	0	0	0
AT1G02405	0	0	0.25	0.6	0.86	0	0	0
AT1G02410	38.7	42.82	14.75	33.48	36.12	54.37	24.07	49.01
AT1G02420	0.25	0	0	0	0	0	0	0
AT1G02430	9.27	5.06	9.61	8.2	4.12	9.66	4.75	7.41
AT1G02440	0	1.15	0.77	0	0	0.66	0.37	1.22
AT1G02450	0	0	5.11	6.63	0	1.16	0	0.34
AT1G02460	0	0	0.86	0.28	0	0	0	0
AT1G02470	0	0	0	0	0	0	0	0
AT1G02475	2.28	0.52	1.34	3.96	1.57	1.08	2.41	1.52
AT1G02480	0	0	0.64	0.24	0.71	0.64	0.59	0.7
AT1G02490	0	0	0	0	0	0	0.64	0
AT1G02500	59.16	104.68	104.45	125.01	46.88	73.51	45.12	66.31
AT1G02510	0	0	0	0	0	0	0	0
AT1G02520	2.61	0.26	0.09	0.1	3.43	0.58	0.04	0.19
AT1G02530	0.21	0	1.99	1.06	0.25	0	0.08	0.25
AT1G02540	0	0	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0	0	0
AT1G02560	65.02	32.83	54.5	83.01	62.53	67.36	122.8	94.78
AT1G02570	0	0	0	0	0	0	0	0
AT1G02575	0	0	0	0	0	0	0	0
AT1G02580	0	0	0.46	0.5	0	0.3	0	0
AT1G02590	0	0	0	0	0.88	0	0	0
AT1G02600	1.69	0	0.7	0	0	0	1.31	0
AT1G02610	15.71	15.91	1.77	2.11	2.97	2.57	1.7	4.03
AT1G02620	0.81	0.22	0	0.21	0	0	0	0
AT1G02630	0	0	0	0.08	0	0	0	0
AT1G02640	0.16	0	3.09	3.62	1.28	3.57	6.93	2.27
AT1G02650	0.24	0	0.69	1.23	0	1.33	0.72	2.65
AT1G02660	7.17	7.17	8.8	4.72	1.25	6.56	3.32	3.07
AT1G02670	4.1	2.96	0.15	1.06	0.36	0.52	0.3	0.72
AT1G02680	45.18	20.55	23.08	28.45	35.56	41.96	24.89	37.48
AT1G02681	26.39	18.67	21.57	13.45	11.75	9.19	0.29	3.76
AT1G02690	88.03	125.18	44.68	36.06	80.23	58.62	28.13	45.43
AT1G02700	55.34	55.72	2.4	9.93	12.36	58.49	2.44	22.16
AT1G02705	0	0	0	0	0.53	0	0	0
AT1G02710	0	0	0	0	0	0	0	0
AT1G02720	8.12	6.49	6.53	5.79	8.76	8.53	6.72	7.73
AT1G02730	12.27	20.62	21.81	27.04	38.79	22.96	26.89	35.92
AT1G02740	8.01	4.68	7.15	9.32	3.92	8.02	9.86	12.05
AT1G02750	9.94	11.27	7.14	10.12	13.86	11.88	5.87	9.99
AT1G02760	0.77	0	0	0.52	1.09	0.8	0.89	0
AT1G02770	27.77	40.04	13.99	15.89	11.91	14.42	6.93	10.71
AT1G02780	2113.29	2245.07	2239.59	2592.76	3209.42	2452.13	3274.93	2921.51
AT1G02790	60.18	3.67	30.88	33.44	0.5	11.84	0.3	0.61
AT1G02800	0.12	0.46	7.99	27.23	11.56	10.8	20.2	20.63
AT1G02810	1.15	0.13	1.43	1.31	1.48	0.87	4.2	3.63
AT1G02813	0	0	0	0	0.67	0	0	0
AT1G02816	21.37	44.68	25	28.24	23.35	17.84	17.85	14.72
AT1G02820	0	0	11.98	5.91	6.09	0	1.95	4.36
AT1G02830	4.8	0	2.16	0.7	0	0	0	0
AT1G02840	87.55	90.02	77.27	91.65	100.44	112.81	99.08	117.79
AT1G02850	0	0	0	0.08	0	0	0	0.11
AT1G02860	36.95	59.91	20.27	28.78	32.51	33.7	17.25	35.46
AT1G02870	206.68	159.53	148.68	144.61	186.57	181.13	183.67	224.22
AT1G02880	12.45	11.4	3.82	6.65	6.57	10.14	11.25	12.12
AT1G02890	4.42	9.14	3.96	7.04	6.13	7.41	3.13	8.25
AT1G02900	0	0	0	0	0	0	0	0
AT1G02910	7.39	10.86	2.32	4.24	7.89	8.53	4.03	6.9
AT1G02920	0.19	0	0.32	0.13	0.2	0.42	0	0.18
AT1G02930	11.59	19.4	230.47	221.74	11.16	28.4	16.56	44.79
AT1G02940	0	0	5.07	1.98	0	0.29	2.35	0
AT1G02950	3.22	0	0.98	0.33	0	0.55	0	1.47
AT1G02952	3.96	0	0	0	0	6.25	0	3.3
AT1G02960	4.55	5.56	1.78	4.46	1.59	6.89	1.9	5.51
AT1G02965	2.89	1.82	0.39	0.32	3.64	0	0	0.44
AT1G02970	17.04	11.4	3.22	7.82	7.77	9.03	6.1	8.18
AT1G02980	49.47	34.42	5.23	7.29	12.96	49.94	0.72	11.54
AT1G02990	3.05	3.28	1.39	2.25	1.27	2.9	1.04	1.59
AT1G03000	2.48	4.14	1.95	2.87	3.23	4.11	1.66	3.57
AT1G03010	0	0	0.56	0.67	0	0	0	0
AT1G03020	0	0	0	0	0	0	0	0
AT1G03030	18.57	14.49	8.12	13.58	9.34	17.55	9.17	20.15
AT1G03040	17.69	14.5	20.32	22.55	10.06	20.63	10.27	22.51
AT1G03050	2.7	0.5	1.94	1.25	0	1.04	0	0
AT1G03055	1.87	0.29	1.74	1.23	0	0.65	0.36	1.15
AT1G03060	2.78	4.98	1.85	2.97	2.41	2.84	1.38	2.03
AT1G03070	520.29	599.56	65.64	100.59	383.47	952.32	30.54	250.48
AT1G03080	0.41	2.47	0.92	0.78	0.63	1.46	0.23	0.07
AT1G03090	39.28	13.45	3.01	6.25	7.42	8.05	5.23	5.07
AT1G03100	2.3	0.26	0.15	0.17	1.61	0	1.42	0.14
AT1G03103	0	0	0	0	0	0	0	0
AT1G03106	7.06	1.23	1.18	3.37	4.6	0.51	0.75	0.45
AT1G03110	38.32	45.41	13.73	31.32	22.66	34.78	26.28	39.92
AT1G03120	6.63	6.5	5.05	10.69	11.14	3.83	5.14	6.08
AT1G03130	4.28	1.5	15.33	30.06	1.57	3.95	2.05	2.39
AT1G03140	39.79	37.23	38.94	56.6	26.96	48.2	57.96	58.38
AT1G03150	37.89	38.82	44.71	37.27	39.26	58.13	35.48	50.26
AT1G03160	1.98	2.69	0.98	2.75	0.78	2.14	1.42	1.84
AT1G03165	0	4.28	0	0	0	1.18	0	1.04
AT1G03170	0	1.7	4.65	4.82	0	0	0	0
AT1G03180	14.32	15.84	2.34	9.65	9.36	37.85	9.07	26.49
AT1G03190	2.85	5.01	1	3.06	2.27	3.27	2.38	2.35
AT1G03200	0	0	0	0	0	0	0	0
AT1G03210	6.73	13.71	1.63	6.5	11.44	20.96	22.58	17.87
AT1G03220	7.85	15.92	5.04	15.83	6.2	7.97	18.15	14.85
AT1G03230	5.53	11.09	3.07	11.48	2.63	10.89	15.27	12.6
AT1G03240	0	0	0	0	0	0	0	0
AT1G03250	22.15	24.55	20.88	29.03	36.58	22.36	28.68	29.22
AT1G03260	8.08	11.75	3.63	5.12	4.26	11.63	3.49	7.26
AT1G03270	6.96	6.69	0.71	4.17	4.18	9.58	3.92	6.72
AT1G03280	19.91	11.1	5.26	14.39	6.38	16.36	6.69	15.2
AT1G03290	5.84	8.31	6.16	5.18	4.69	4.32	1.87	4.14
AT1G03300	0.09	0.14	0	0	0.37	0	0	0.05
AT1G03310	2.16	2.01	6.49	5.75	1.71	4.07	3.15	2.59
AT1G03320	0	0	0	0	0	0	0	0
AT1G03325	0	0	0	0	0	0	0	0
AT1G03330	264.11	221.64	204.25	187.63	282.98	241.07	404.35	288.3
AT1G03340	0	0	0.24	0.29	0	0	0	0.14
AT1G03350	15.86	23.97	30.09	25.39	14.98	21.53	11.91	20.45
AT1G03360	80.08	66.88	45.96	56.1	56.57	50.92	58.09	74.14
AT1G03365	10.72	15.53	6.98	12.11	9.33	12.17	6.11	7.51
AT1G03370	5.22	3.5	1.55	2.87	2.25	5.12	1.89	3.69
AT1G03380	1.37	1.06	0.34	0.76	0.15	1.15	0.33	0.77
AT1G03390	0	0	0	0	0	0	0	0
AT1G03395	0	0	0	0	0	0	0	0
AT1G03400	0	0	0.39	0.32	0	0	0	0
AT1G03410	0	0	0	0.75	0	0	0	0.57
AT1G03420	7.78	13.5	17.69	23.84	9.53	14.97	15.2	16.56
AT1G03430	0.67	2.08	2.52	2.33	1.74	4.01	3.77	5.09
AT1G03440	1.24	1.17	0.67	1.36	0.39	1.18	0.72	1.04
AT1G03445	2.36	2.56	2.36	1.55	0.69	1.6	0.57	1.27
AT1G03457	7.08	29.13	5.24	13.24	7.24	22.06	17.58	31.99
AT1G03470	8.67	5	3.2	4.76	6.42	9.51	4.55	9.93
AT1G03475	18.45	39.38	30.89	45.23	26.38	32.6	42.09	37.55
AT1G03490	0	0.34	0	0	0	0	0	0
AT1G03495	2.8	2.21	0.74	2.02	1.15	3.01	1.19	3.75
AT1G03502	2.77	0	4.52	7.39	15.7	2.88	0	7.61
AT1G03506	0	0	0	0	1.99	0	0	1.93
AT1G03510	3.66	1.92	1.97	0.6	0.43	0.79	1.42	1.54
AT1G03515	0	0	0	0	0	0	0	0
AT1G03520	2.08	1.81	3.87	5.16	0.75	3.82	4.12	4.83
AT1G03530	10.31	6.69	3.07	3.55	7.38	5.83	3.52	4.42
AT1G03540	0	0	0	0	0	0	0	0
AT1G03545	0.75	0.47	0.3	1.29	0.35	1.74	0.86	1.36
AT1G03550	1.53	0	0.81	0.13	3.33	0.15	0	0
AT1G03560	2.29	3.48	1.15	3.31	0	4.1	3.21	3.99
AT1G03570	0	0	0	0	0	0	0	5.4
AT1G03580	0	0	0	0	0	0	0	0
AT1G03590	3.41	7.07	9.29	9.83	4.54	5.2	5.05	9.18
AT1G03600	8.04	2.15	14.2	23.43	2.1	3.2	12.32	6.42
AT1G03610	25.15	34.05	9.66	17.11	11.55	11.47	5.55	11.2
