ColxCvi_2cell	CvixCol_2cell	unwashed_ColxCvi_8cell	unwashed_CvixCol_8cell	ColxCvi_8cell	CvixCol_8cell	ColxCvi_eg	CvixCol_eg
AT1G61160	0	0	0	0	0	0	0.57	0
AT1G61165	0	0	0	0.78	0	0	0	0
AT1G61170	0	0	5.51	3	1.61	1.38	1.62	2.61
AT1G61180	0.17	0.31	0.75	2.15	1.35	3.72	1.25	2.33
AT1G61190	1.12	0.83	0.46	1.63	0.38	2.16	0.71	1.68
AT1G61200	0	0	0	0	0	0	0	0
AT1G61210	3.26	4.99	1.32	3.11	2.44	6.6	1.92	2.5
AT1G61215	2.53	1.53	2.44	2	1.34	3.99	3.52	4.26
AT1G61224	0	0	0	0	0	0	0	0
AT1G61226	0	0	0	0	0	0	0	0
AT1G61230	0.44	0	0.12	0	0	0.15	0	0.27
AT1G61240	3.45	1.45	3.42	4.56	1.14	4.58	3.33	5.85
AT1G61250	39.21	41.91	40.63	41.32	27.2	44.52	42.52	52.62
AT1G61255	0.33	0	17.74	4.39	0.63	0	2.84	0.61
AT1G61260	0.27	0.17	1.18	1.05	0	0.28	0.93	1.1
AT1G61270	0	0	0	0	0	0	0	0
AT1G61275	3.13	1.97	2.54	0	0	0	0	0
AT1G61280	18.2	4.8	12.61	17.39	2.18	36.86	19.34	27.99
AT1G61290	1.81	0	1.12	1.3	0	4.42	0.41	1.14
AT1G61300	0	0.3	0.19	1.69	0	1.66	1.5	1.57
AT1G61310	0.35	0.79	1.45	0.48	0.3	0.61	0.61	0.72
AT1G61320	0	0.93	0	0.18	0	0	0	0
AT1G61330	0	0	0	0.46	0	0	0	0
AT1G61340	122.28	93.41	70.87	40.13	101.27	187.47	33.73	100.91
AT1G61350	3.53	3.49	5.15	5.34	2.88	4.06	1.85	5.51
AT1G61360	4.22	0.4	0.79	0.58	0.68	0.22	0.99	3.27
AT1G61370	0.4	0.9	0.26	0.58	0.08	0.41	0.99	1.02
AT1G61380	1.64	1.4	1.98	2.52	0.07	1.51	1.07	1.75
AT1G61390	1.72	0	0.48	0.89	0.64	0.23	0.31	0.41
AT1G61400	1.3	0.89	0.27	1.29	0.48	1.87	1.01	1.57
AT1G61410	0.91	5.76	0.91	1.94	1.51	3.29	2.28	1.25
AT1G61415	1.45	3.93	0.33	3.14	1.47	2.01	1.93	1.36
AT1G61420	0	0.34	0	0	0.14	0	0	0
AT1G61430	1.61	4.28	0.64	0.99	0.34	1.88	0.88	2.03
AT1G61440	6.42	18.63	2.81	2.41	10.17	1.46	0.65	3.2
AT1G61450	20.65	40.22	12.51	15.92	18.76	18.73	16.91	19.84
AT1G61460	0.3	2.71	0.18	0.68	0.09	0.85	0.5	1.21
AT1G61470	9.49	24.14	7.95	6.62	17.23	45.41	7.5	18.24
AT1G61475	0	0.46	0	0	0	0	0	0
AT1G61480	0	0	0	0	0	0	0	0.07
AT1G61490	0.17	2.38	0.07	0.76	1.39	0.13	0.53	0.99
AT1G61500	0.66	0	0.3	0.88	0	0.46	0.22	0.47
AT1G61510	0	0	0	0	0	0	0	0
AT1G61520	1.84	7.16	93.44	223.43	3.98	11.14	18.99	3.52
AT1G61540	0	0	0	0	0	0	0	0
AT1G61542	0	0	0	0	0	0	0	0
AT1G61550	0.59	2.62	0.84	1.81	0.98	1.85	1.72	1.9
AT1G61560	1.36	0.11	0.45	0.55	0.52	0.69	0	0.66
AT1G61562	0	0	0	0	0	0	0.97	0.15
AT1G61563	191.88	54	92.48	88.68	5.66	33.43	2.55	2.05
AT1G61565	0	0	0	0	0.69	0	0	2.68
AT1G61566	92.77	8.77	20.51	39.18	1.41	19.59	3.47	0
AT1G61570	393.41	425.64	399.11	312.55	432.32	302.06	455.78	364.56
AT1G61575	0	0	0	0	0.46	0	0	0.45
AT1G61580	147.97	149.7	90.6	64.16	110.41	91.31	63.79	73.1
AT1G61590	0	0	0	0	0	0	0	0
AT1G61600	0	0	0.13	0.42	0	0	0	0
AT1G61610	0	0	0	0	0	0	0	0
AT1G61620	70.51	79.81	63.31	80.67	76.62	89.16	55.52	71.94
AT1G61630	0	0	0	0	0	0	0	0.32
AT1G61640	17.64	14.19	5.9	9.26	16.56	13.49	7.93	12.2
AT1G61650	0	0	0	0	0	0	0	0
AT1G61660	0	0	0.81	0.78	0	0.11	0	0
AT1G61665	0	0	0	0	0	0	0	0
AT1G61667	7.14	2.28	1.59	5.3	0.2	0.94	2.81	2.69
AT1G61670	8.23	5.78	13.48	11.41	7.13	9.86	7.17	10.11
AT1G61680	0.92	1.53	4.64	1.07	5.74	2.78	0.42	0.84
AT1G61685	0	0	0	0	0	0	0	0
AT1G61688	4.62	3.64	71.37	89.18	54	95.94	1.34	36.5
AT1G61690	6.5	16.18	4.41	8.28	4.86	10.41	2.81	4.67
AT1G61700	0	8.14	0	0	0	0	0	0
AT1G61710	0	0	0	0	0	0	0	0
AT1G61720	2.67	2.57	122.15	44.62	3.56	7.99	1.95	11.94
AT1G61730	61.6	58.05	62.32	71.12	48.19	48.31	39.59	61.91
AT1G61732	0	0	0	0	0	0	0	0
AT1G61740	0.11	0.27	1.11	0.84	0	0	1.64	1.75
AT1G61750	0	0	0	0	0	0	0	0
AT1G61760	0	0	0	0	0	0	0	0
AT1G61770	23.37	45.87	18.78	28.82	25.58	37.29	21.84	25.71
AT1G61780	120.55	106.29	139.33	103.5	100.71	165.78	154.97	141.72
AT1G61790	53.57	61.57	64.89	61.15	49.35	49.44	65.48	55.94
AT1G61795	0	0	0	0.94	0	0	0	0
AT1G61800	0	0.98	8.05	12.21	0	0.81	0.1	0
AT1G61810	0	0	0	0.29	0	0	0	0
AT1G61820	0	0	0	0	0	0	0	0
AT1G61830	0	0	0	0	0	0	0	0
AT1G61840	0	0	0	0	0	0	0	0
AT1G61850	1.09	3.33	0.57	1.98	1.12	2.75	0.86	1.69
AT1G61860	1.91	1.2	0.86	0.78	1.12	0.74	0.09	0.65
AT1G61870	47.6	26.07	42.51	67.56	35.66	32.04	55.37	60.95
AT1G61880	0.59	0	0	0.8	1.68	0.61	0	0
AT1G61890	1.16	4.11	7.97	6.03	0.89	2.29	5.38	4.34
AT1G61900	19.71	16.94	16.3	21.69	13.93	12.6	14.4	11.72
AT1G61910	0	0	0.45	0.36	0	0	0	0
AT1G61920	0	0	0	0	0	0	0	0
AT1G61930	0	0	4.65	2.02	4.01	0	0.18	0
AT1G61940	0	0	0	0	0	0	0	0
AT1G61950	0	0	0	0	0	0	0	0
AT1G61960	2.59	4.35	3.68	2.52	1.75	1.54	1.62	2.6
AT1G61970	1.62	2.97	1.44	1.3	1.78	1.54	0.63	1.9
AT1G61980	8.43	23.02	13.05	13.22	4.55	5.95	10.61	11.28
AT1G61990	10.83	13.59	16.47	15.83	12.81	9.1	22.58	21.93
AT1G62000	0	0	0	0	0	0.3	0	0.8
AT1G62010	21.12	17.03	10.5	16.39	14.45	21.68	19.03	21.29
AT1G62020	17.48	31.47	19.82	23.72	24.55	21.4	15.61	19.83
AT1G62030	1.11	0	2.56	2.48	0.16	0	0	0
AT1G62035	0	0	0	0	0	0	0	0
AT1G62040	32.37	25.21	23.93	23.26	13.1	18.67	22.23	27.11
AT1G62045	0.37	0	0.89	4.84	4.51	2.29	7.11	2.35
AT1G62050	3.19	1.95	1.48	4.2	3.2	3.21	3	3.01
AT1G62055	0	0	0	0	0	0	0	0
AT1G62060	0	0	0	0	0	0	0	0
AT1G62070	0	0	0	0	0	0	0	0
AT1G62075	0	0	0	0	0	0	0	0
AT1G62080	0	0	0	0	0	0	0	0
AT1G62085	4.38	4.41	2.22	4.33	3.64	2.96	3.75	5.25
AT1G62090	0	0	0.12	0	0	0	0	0.27
AT1G62095	0	0	0	0	0	0	0	0
AT1G62110	5.21	3.21	3.13	5.11	4.76	3.8	3.44	4.77
AT1G62120	2.46	2.9	1.55	3.86	1.3	2.52	3.39	2.93
AT1G62130	1.94	0.89	0.36	0.85	0.18	1.27	0.85	1.01
AT1G62150	12.05	16.1	12.03	14.44	6.72	9.89	13.25	15.11
AT1G62160	0	0	0	0	0	0	0	0
AT1G62170	0.3	3.68	2.7	3.67	0.41	2.98	0.44	2.66
AT1G62180	2.15	8.82	25.58	10.44	10.64	13.29	23.03	20.27
AT1G62190	0	0	0	0	0	0	0	0
AT1G62200	2.07	0.39	1.76	3.75	1.76	3.76	3.53	3.51
AT1G62210	0	0	0	0	0	0	0	0
AT1G62214	0	0	0	0	0	0	0	0
AT1G62220	0	0	0	0	0	0	0	0
AT1G62225	0	0	0	0	0	0	0	0
AT1G62230	0	0	0	0	0	0	0	0
AT1G62240	0	0	0	0	0	0	0	0
AT1G62250	1.12	5.16	3	5.73	1.37	2.61	2.19	3.25
AT1G62260	0	0	0.17	0	0	0.11	0.17	0
AT1G62262	0	0	0	0	0	0	0	0
AT1G62270	0	0	0	0	0	0	0	0
AT1G62280	0	0	0	0	0	0	0	0
AT1G62290	3.02	19.91	8.77	28.17	21.51	18.65	17.83	33.6
AT1G62300	0	0	0.15	0	0	0	0.15	0
AT1G62305	17.27	11.82	0.79	5.8	5.82	6.81	0.65	2.39
AT1G62310	0.62	1.06	0.29	0.58	0	1.79	0.65	1.72
AT1G62320	0	0	0	0	0	0	0	0
AT1G62330	0.73	0.11	2.71	3.18	0.43	1.61	1.76	1.75
AT1G62333	7.5	4.2	200.22	78.63	7.09	5.19	2.58	11.08
AT1G62340	0	0	1.22	1.16	1.75	0.17	2.54	0.69
AT1G62350	0.27	0	0	0.35	0	0.3	0	0
AT1G62355	0	3.13	0	1.66	0	0	0	0
AT1G62360	0	0	0.53	1.38	0	0	1.16	0
AT1G62370	0	0	1.92	0.22	0	0.35	0.66	0.16
AT1G62380	0.15	1.95	15.07	31.94	0	0.48	2.39	3.25
AT1G62390	71.4	46.04	26.77	47.11	42.97	56.29	32.11	56.01
AT1G62400	0	0	0	0	0	0	0	0
AT1G62410	67	69.24	13.86	31.26	24.01	15.34	28.21	28.01
AT1G62420	7.56	4.39	2.97	0.13	3.11	0.4	0.3	0.18
AT1G62421	0	0	0	0	0	0	0	0
AT1G62422	0.74	0	0	0.49	0	0.77	1.86	2.88
AT1G62430	16.34	16.27	16	21.68	14.03	19.34	22.4	23.14
AT1G62440	0.09	0	0	0	0	0	0	0
AT1G62450	1.02	0	0.28	0.56	0	0	0	0
AT1G62460	0	0	0.01	0.01	0	0	0	0.05
AT1G62480	10.34	7.04	485.92	223.27	16.37	40.34	63.44	73.75
AT1G62490	0.29	0.18	0.12	0.38	0	0.6	0	0.53
AT1G62500	0	6.24	0.34	11.1	0	2.5	0	0
AT1G62510	0	0.97	0	0	0	0.27	0	0
AT1G62515	0	0	0	0	0	0	0	0
AT1G62520	4.33	8.43	12.06	28.14	5.76	14.92	9.76	15.69
AT1G62530	0	1.1	0.69	0.46	0	0.54	0.27	0.64
AT1G62540	0	0	1.42	0.17	0	0	0	0
AT1G62550	0	0	0	0	0	0	0	0
AT1G62560	0.71	0	0	0	0	0	0	0
AT1G62570	1.6	0.63	1.05	1.91	0.66	2.81	0	0
AT1G62580	0.53	0	0.61	1.06	0.46	1.21	0.33	1.15
AT1G62590	0	0	1.07	0	0	0	0.71	2.37
AT1G62600	7.39	16.57	5.32	5.96	5.58	8.93	5.84	6.5
AT1G62610	6.8	5.53	4.34	5.72	3.57	2.22	1.8	3.75
AT1G62620	0	0	0	0	0	0.9	0	0.69
AT1G62630	0	0	0.05	0	0	0	0	0
AT1G62640	37.46	63.88	33.14	51.1	44.77	52.71	41.24	56.85
AT1G62650	0	0	0	0	0	0	0	0
AT1G62660	1.8	0.15	1.43	3.18	0.07	0.24	0	0
AT1G62670	2.26	2.35	1.22	1.96	0	0.24	1.24	0.79
AT1G62680	1.29	1.94	0.52	1.59	1.2	0.96	1.69	2.7
AT1G62690	10.86	14.79	3.83	2.96	2.24	1.79	1.05	2.85
AT1G62695	0	0	0	0	0	0	0	0
AT1G62700	0	0	0.09	0.47	0	0	0	0
AT1G62710	0.5	0	0.91	1.65	2.48	1.43	6.3	5.62
AT1G62720	0.59	2.18	0.92	1.88	3.42	0.9	1.65	1.21
AT1G62730	32.76	35.37	22.89	27.69	51.09	148.06	18.88	44.28
AT1G62740	162.94	167.93	71.04	98.44	97.84	204.68	49.57	142.78
AT1G62750	14.79	12.49	7.64	15.98	4.91	10.19	7.61	13.92
AT1G62760	0	0	0	0.23	0	0	0	0
AT1G62766	0.71	0	0	0	0	0	0	0
AT1G62770	5.11	0	0.19	5.05	0	1.2	0.9	3.61
AT1G62780	2.6	3	5.93	14.11	3.27	1.8	5.53	3.96
AT1G62790	84.02	105.04	52.68	65.63	82.1	25.59	21.39	30.51
AT1G62800	0.3	0	8.13	5.65	0.43	0.16	0.12	0
AT1G62810	0	0	0.41	0.77	0	0	0	0.13
AT1G62820	39.17	35.92	38.95	38.7	34.3	25.07	40.5	27.35
AT1G62830	6.4	4.29	3.07	6.46	5.43	4.63	4.9	5.12
AT1G62835	0	0	0	0	0	0	0	0
AT1G62840	5.37	3.62	0.23	1.66	6.41	0.17	0	2.75
AT1G62850	5.34	1.61	5.72	4.23	5.49	6.74	3.77	9.86
AT1G62860	0.26	0.37	0.16	0.78	0.19	0.2	0.38	0.45
AT1G62870	2.44	2.9	2.79	4.16	1.31	2.23	2.97	1.84
AT1G62880	16.25	9.94	8.84	12.62	7.17	13.57	8.95	9.09
AT1G62886	0	0	2.07	0.72	0	0	0	0
AT1G62890	0	0	0	0	3.36	0.82	0.61	0
AT1G62895	0	0	0	0	0	0	0	0
AT1G62900	0	0	0.66	0	0	0.57	0	0.75
AT1G62910	0.77	3.45	1.77	0.75	1.36	0.89	0.93	1.24
AT1G62914	0	0	0	0	0	0.14	0	0
AT1G62915	2	0	0	1.03	0	0.35	0	0
AT1G62920	1.17	0	0.47	0.58	0	0	0.23	1.88
AT1G62930	3.25	3.84	3.31	2.46	9.33	1.69	1.68	2.38
AT1G62935	0	0	0.57	0	0	0	0	0
AT1G62940	0.66	0	0	0	0	0	0	0
AT1G62950	5.27	5.58	2.24	3	3.45	3.94	1.06	2.85
AT1G62960	19.65	19.02	11.83	15.06	10.33	11.59	14.37	13.99
AT1G62970	19.29	21.23	7.16	15.9	9.47	13.01	7.76	11.13
AT1G62975	0	0	0	0.24	0	0	0	0
AT1G62978	0	0	0	0	0	0	0	0
AT1G62980	0	0	0	0	0	0	0	0
AT1G62981	0.97	0.82	0	0.7	0.61	0.51	0.25	0.45
AT1G62990	0	0	8.55	4.95	0.28	0.61	0	0.67
AT1G63000	7.65	9.82	6.66	13.6	5.78	11.59	5.21	9.67
AT1G63005	0	0	0	0	0	0	0	0
AT1G63010	2.92	6.51	1.56	3.72	1.15	2.63	2	2.63
AT1G63020	5.2	6.42	3.43	7.92	2.88	4.53	3.88	7.26
AT1G63030	0	0	0.75	0	0	0	0	0
AT1G63040	0	0	0.25	0.61	0	0	0.24	0
AT1G63050	14.85	13.43	35.12	48.33	22.78	33.22	46.81	46.48
AT1G63055	0	10.95	18.58	2.1	0	1.92	1.14	0.68
AT1G63057	0	2.08	5.1	1.26	0	1.41	1.09	0
AT1G63060	3.99	0	3.68	0.75	0	0	0	0
AT1G63070	0	0	0	0.12	0	0.29	0	0.23
AT1G63080	0.73	0	0.34	0.37	0	0.29	0.06	0.49
AT1G63090	4.64	5.07	8.61	4.08	3.51	2.73	2.4	4.11
AT1G63100	4.96	3.82	8.54	8	9.37	13.53	7.17	21.98
AT1G63105	0	0	0	0	0	0	0	0
AT1G63110	16.33	27.9	21.61	26.77	17.67	25.87	27.05	29.59
AT1G63120	1.11	2.61	5.68	4.28	0.39	2.73	3.11	4.69
AT1G63130	2	2.47	1.16	1.83	1.2	2.39	2.76	2.57
AT1G63140	0	0	0	0.21	0	0	0	0
AT1G63150	0.41	0.89	0.63	1.06	0.09	0.76	0.67	0.88
AT1G63160	59.27	52.3	18.51	45.16	50.45	34.49	42.51	39.82
AT1G63170	23.88	31.4	12.59	22.3	22.43	19.62	15.35	20.8
AT1G63180	13.35	3.63	2.69	1.8	0.43	1.57	0.23	1.11
AT1G63190	0	0	0.61	0.17	0	0	0	0.46
AT1G63200	4.52	0.76	0.49	1.19	2.28	4.38	0	2.49
AT1G63205	0	0	0	0	0	0	0	0
AT1G63206	0.27	2.07	0	1.45	0	0.82	0.21	0
AT1G63210	1.41	1.94	0.69	0.45	0.35	0.7	0.19	0.17
AT1G63220	20.16	25.8	126.49	49.09	26.7	13.17	2.02	9.83
AT1G63230	1.16	0.81	0.52	0.39	1.1	0.54	0.8	0
AT1G63240	1.95	2.23	1.07	1.4	1.09	1.11	0.82	1.14
AT1G63245	0	0	0	0	0	0	0	0
AT1G63250	13.12	12.34	3.44	7.2	6.95	21.21	7.41	14.75
AT1G63260	3.65	2.55	13.91	26.11	11.37	19.32	87.86	71.38
AT1G63270	7.49	4.72	5.63	7.07	5.79	3.36	9.1	9.67
AT1G63280	2.67	0	0	0	0	0	0	0
AT1G63290	37.31	42.29	53.57	48.21	51.42	58.29	72.38	49.31
AT1G63295	0	0	0.25	0	0	0	0	0
AT1G63300	0.31	0.39	0.96	1.11	0.24	1.11	2.28	1.95
AT1G63310	0	0	2.17	1.95	0	0	0	0
AT1G63320	0	0	0.3	0.28	0	0	0	0.07
AT1G63330	0.28	1.5	0.17	1.15	0	1.11	1.28	0.35
AT1G63340	0.31	0.44	0.47	0.97	0	1.02	0.87	2.9
AT1G63350	0	0	0	0	0	0.15	0	0.14
AT1G63360	0	0	0.12	0.1	0	0	0	0
AT1G63370	0	0	0	0	0	0	0.14	0
AT1G63380	4.38	1.99	1.49	2.15	0	0.79	0.84	2.29
AT1G63390	0	0	0.75	0	0	0	0.36	0.45
AT1G63400	1.57	1.89	1.46	1.39	1.37	0.94	0.89	0.81
AT1G63410	0	0	0	0	0	0	0	0
AT1G63420	0.32	0.53	1.88	1.75	0	0	0.08	0.19
AT1G63430	1.8	2.06	2.55	2.76	1.62	2.08	1.09	2.45
AT1G63440	5.34	10.65	2.35	7.13	2.42	3.82	3.28	3.69
AT1G63450	0.6	0.42	0.43	0.26	0.63	0.62	0.15	0.43
AT1G63460	27.15	11.63	40.19	27.85	25.29	29.06	35.12	48.13
AT1G63470	13.16	20.01	21.6	39.59	25.2	39.42	40.66	40.08
AT1G63480	9.45	12.49	13.82	18.47	10.17	24.67	19.77	31.15
AT1G63490	2.35	0.45	0.9	1.18	0.67	2.63	0.87	1.92
AT1G63500	12.09	9.05	5.45	3.77	6.14	4.88	2.65	4.16
AT1G63510	0	0	0	0	0	0	0	0
AT1G63520	1.07	0	0.43	0.28	0	0	0	0
AT1G63522	0.66	3.3	52.95	44.99	3.09	5.44	0.51	0.6
AT1G63530	0	0	2.48	3.73	0.11	1.85	1.06	0
AT1G63535	0	0	0	0	0	0	0	0
AT1G63540	0.89	1.55	0.63	2.72	0	0.58	0.43	0
AT1G63550	0.93	3.14	1	4.1	0.74	0.65	1.09	1.28
AT1G63570	0	0	0	0	0	0	0	0
AT1G63580	0	0	0	0	0	0	0	0
AT1G63590	0	0	0	0	0	0	0	0
AT1G63600	0	0	0	0	0	0	0	0
AT1G63610	10.5	9.56	7.24	15.69	13.46	13.03	18.97	15.75
AT1G63615	0	0	0	0	0	0	0	0
AT1G63630	0.99	0.47	0	0.44	0.19	1.24	0.31	0.55
AT1G63640	17.86	24.59	10.86	20.45	12.89	21.04	8.12	20.22
AT1G63650	0.44	0	0.94	0.48	0.26	0	0.25	0.66
AT1G63660	46.01	25.41	38.96	61.6	58.44	48.28	77.22	82.17
AT1G63670	6.98	11.55	7.64	8.92	6.05	13.22	4.59	13.12
AT1G63680	5.86	6.5	3.01	5.9	2.82	3.97	4.63	7.25
AT1G63690	10.54	23.51	12.61	15.82	17.76	17.69	12.46	12.53
AT1G63700	8.85	7.57	3.36	5.16	2.88	5.6	3.29	3.53
AT1G63710	0	0	1.8	4.96	0	0.12	0	0
AT1G63720	1.2	2.34	1.82	1.92	0.25	4.83	0.82	1.22
AT1G63730	53.31	54.63	1.42	2.51	20.63	82.7	3.25	24.14
AT1G63740	2.98	4.62	0.61	1.19	0.5	3.49	0.92	2.22
AT1G63750	0.89	0.06	0.42	1.08	0	0.61	0.57	1.65
AT1G63760	0	0	0	0	0	0	0	0.11
AT1G63770	46.21	69.96	52.01	67.18	43.56	44.88	50.86	52.88
AT1G63780	97.9	75.73	62.23	66.9	77.39	78.41	59.92	85.95
AT1G63790	2.96	0	0	0	0	0	0	0
AT1G63800	2.88	6.74	4.69	5.43	2.42	3.85	3.67	8.49
AT1G63810	15.7	24.22	11.27	13.57	15.49	16.19	7.43	16.95
AT1G63820	8.16	9.7	0.5	0.91	2.76	3.04	0.24	0.14
AT1G63830	178.79	207.53	75.63	73.89	131.6	135.28	88.7	127.14
AT1G63835	0	0	0	0	0	0	0	0
AT1G63840	30.3	45.47	9.15	6.04	17.66	24.42	2.89	11.47
AT1G63850	0.3	3.55	4.95	6.95	2.47	4.39	6.39	5.53
AT1G63855	6.58	2.18	7.75	10.66	4.52	11.93	7.82	10.21
AT1G63860	3.44	0.72	0.25	0.66	0.24	2.56	1.14	2.78
AT1G63870	0	0.27	0	0.09	0	0.22	0.11	0.06
AT1G63880	0.88	0	0.48	0.09	0	0	0.1	0
AT1G63900	11.27	18.27	13.15	9.26	4.08	12.53	8.24	10.94
AT1G63910	0	0	0.37	0	0	0	0.12	0
AT1G63920	1.47	2.38	0	0.69	0	0	0	0.39
AT1G63930	4.03	1.75	1.9	1.56	0.79	0.87	0.22	0.13
AT1G63940	23.42	40.49	25.82	38.27	36.44	32.78	52.11	49.48
AT1G63950	0	0	0.33	0	0	0	0	0
AT1G63960	0	0	1.5	1.22	0	0	0	0
AT1G63970	20.77	20.41	26.69	35.64	13.58	32.46	32.35	28.23
AT1G63980	70.12	76.86	22.06	35.35	31.8	58.07	23.32	51.28
AT1G63990	0.94	2.19	1.03	1.43	0.87	0.76	2.75	2.43
AT1G64000	0	0	0	0	0	0	0	0
AT1G64010	0	0	0	0	0	0	0	0
AT1G64020	0	0	0	0	0	0	0	0
AT1G64030	0	0	0.88	0.24	0	0	0.14	0
AT1G64035	0	0	0.08	0	0	0	0	0.09
AT1G64040	36.12	59.72	55.06	51.39	59.3	42.58	41.19	40.86
AT1G64050	17	13.41	2.53	6.14	6.16	7.29	2.49	4.54
AT1G64060	1.05	1.04	0.62	0.58	0.57	0.63	0.56	0.96
AT1G64065	0	0	0	0	0	0	0	0
AT1G64070	0	0	0	0	0	0	0	0
AT1G64080	0.64	2.92	1.77	6.46	1.34	3.21	3.5	3.07
AT1G64090	88.16	67.5	70.33	76.52	70.82	61.73	91.78	78.19
AT1G64100	0	0	0	0.4	0	0.27	0.27	0.24
AT1G64105	31.38	35.07	27.86	13.71	25.56	16.7	8.51	15.81
AT1G64107	1.06	0	23.6	20.68	18.06	13.24	0	2.92
AT1G64110	0.95	0.31	0	0.05	0.23	1.46	0	0.08
AT1G64120	0	0	0	0	0.78	0	0	0
AT1G64130	0	0	0	5.98	0	0	0	0
AT1G64140	6.47	4.48	5.73	7.88	3.66	5.04	3.69	4.96
AT1G64150	3.35	0.38	1.6	4.92	0	2.22	2.48	3.21
AT1G64160	0	0	0	0	0	0	0	0
AT1G64170	0	0	0	0.05	0	0	0	0
AT1G64180	1.25	0.53	2.6	3.5	0.49	0.76	0.97	0.48
AT1G64185	24.65	17.99	15.2	18.66	29.28	27.85	16.33	24.08
AT1G64190	27.92	27.68	27.5	45.49	27.16	42.88	78.57	50.79
AT1G64195	0.59	2.95	0	0	0	0.61	0	0
AT1G64200	76.23	65.96	13.74	14.73	14.08	38.21	4.62	13.33
AT1G64210	0.32	0	0.43	0.07	1	0.11	0.08	0.39
AT1G64220	117.1	106.8	103.84	24.01	116.71	20.13	58.8	31.81
AT1G64230	126.08	122.3	209.12	170.65	166.71	216.24	215.61	211.47
AT1G64235	5.58	0	0	0	0	0	0	0.32
AT1G64240	0.19	1.32	0	0.13	0	0.3	0.52	0.17
AT1G64250	0	0	0	0	0	0	0	0
AT1G64253	0.19	0.71	0	0.19	0	0	0.29	0
AT1G64255	0.39	0	0.4	0.65	0	0.82	0.38	0.27
AT1G64260	2.71	5.81	1.09	2.14	1.2	1.5	1.89	1.24
AT1G64270	0	0.13	0.08	0.2	0	0.63	0.23	0.28
AT1G64280	0.08	1.07	0.62	1.62	0.8	2.38	1.77	2.8
AT1G64290	0	0	0.53	0.65	0.16	0.34	0	0.3
AT1G64295	0	0	0.34	0	0	0	0	0
AT1G64300	2.63	1.45	0.73	1.9	2.8	1.64	0.95	0.6
AT1G64310	0	0	0	0	0	0	0.1	0
AT1G64320	1.35	0.13	0.08	0.3	0.49	0.65	0.18	0.29
AT1G64330	2.8	1.08	4.68	6.09	1.22	4.91	2.08	3.65
AT1G64340	0	0	0	0	0	0	0	0
AT1G64350	36.11	31.24	36.05	34.58	47.81	32.59	34.12	39.11
AT1G64355	0	0	2.99	5.86	0	0.23	5.91	3.32
AT1G64360	0	0	0	0	0	0	0	0
AT1G64370	0	0	0.7	4.21	0	0	0	0
AT1G64380	0.41	0.69	12.88	1.91	0.65	0.43	0.32	0.88
AT1G64385	6.69	8.42	3.82	4.95	4.08	4.19	2.27	3.19
AT1G64390	2.49	3.64	21.54	23.67	0.91	1.33	3.73	3.38
AT1G64400	0	0	0.15	2.15	0	0	0	0
AT1G64405	0	0	0.21	0.51	0	0	0	0
AT1G64410	0	0	0	0.08	0	0.17	0	0
AT1G64420	0.96	0	0.95	0	0	0	0	0
AT1G64430	4.19	4.75	1.94	3.28	0.31	4.82	0.93	3.74
AT1G64440	4.16	5.61	2.16	4.11	0.84	4.94	1.96	3.82
AT1G64450	2.24	1.3	4.73	6.02	3.1	1.25	6.95	6.17
AT1G64455	0	0	0	0.25	0	0	0	0
AT1G64460	5.86	10.38	3.84	7.06	5.44	7.63	7.15	7.27
AT1G64480	0	0	0	0	0	0	0.24	0
AT1G64490	115.04	82.8	67.3	83	102.98	52.03	94.7	91.07
AT1G64500	0	0.19	0	0.39	0	0	0	0.14
AT1G64510	15.21	26.06	37.33	69.29	12.35	47.78	62.59	48.63
AT1G64520	272.9	274.17	463.7	485.91	378.61	438.21	573.82	446.91
AT1G64530	5.01	2.6	1.35	4.6	1.88	4.64	2.95	3.64
AT1G64540	0.32	3.58	0.76	1.46	1.94	1.31	0.86	0.87
AT1G64550	69.45	73.46	30.29	46.55	62.23	56.49	33.11	53.35
AT1G64560	0	0.69	0	0	0.5	2.13	0	3.3
AT1G64561	0	0	0	0.52	0	0.55	0	0.48
AT1G64563	0	0.1	0.06	0	0	0	0.06	0
AT1G64570	0	0	0	0.07	0	0	0.04	0
AT1G64572	25.49	13.33	5.44	12.69	21.35	19.48	8.94	14.98
AT1G64580	5.51	5.64	2.59	3.85	2.49	4.65	3.73	2
AT1G64583	2.17	0	0.19	1.03	0.46	1	1.22	2.43
AT1G64584	1.94	14.64	6.26	2.56	0	2.01	3.5	1.18
AT1G64585	0	0	0	1.12	0	0	0	0
AT1G64590	0	0	0	0	0	0	0	0
AT1G64600	32.32	19.23	3.96	7.51	9.48	21.46	8.76	18.83
AT1G64610	1.22	1.3	0.74	1.23	0.09	0.77	1.08	0.51
AT1G64618	0	0	4.23	2.52	3.15	0.5	1.11	0.44
AT1G64620	0.56	0.12	6.22	5.27	4.3	2.99	0.79	1.7
AT1G64625	4.7	4.25	3.82	7.29	2.94	5.28	2.13	3.6
AT1G64630	7.68	4.2	3.83	4.33	2	4.62	1.88	3.33
AT1G64633	0	0	0	0	0	0	0	0
AT1G64640	4.55	2.73	6.46	5.42	3.68	3.15	2.35	3.37
AT1G64650	7.88	9.61	29.49	43.15	18.07	20.94	28.62	22.61
